 Monday Tuesday Wednesday Thursday Friday
YM=F 25.87 15.89 12.17 16.15 30.6
ES=F 25.59 16.88 13.23 16.88 29.95
NQ=F 25.55 17.16 12.52 16.36 29.4
DX-Y.NYB 26.29 16.54 15.06 16.39 30.44
GC=F 25.04 17.68 14.75 17.37 27.14
CL=F 28.1 15.73 14.39 17.04 25.65
BTC-USD 31.87 11.68 10.37 10.47 11.4
AUDUSD=X 25.36 15.52 13.51 18.71 28.2
USDJPY=X 27.69 14.85 13.83 15.8 28.95
GBPUSD=X 26.84 15.47 13.69 14.83 30.07
GBPJPY=X 28.21 16.01 12.56 15.1 28.25
USDCAD=X 25.05 15.81 13.78 16.22 29.55
NZDUSD=X 26.3 15.88 14.47 16.74 27.89
USDCHF=X 26.71 14.01 12.07 17.7 30.14
AUDJPY=X 27.62 15.88 13.42 15.01 28.53
NVDA 27.32 16.46 13.68 14.75 27.87
AAPL 27.89 17.84 15.62 13.97 26.01
NFLX 28.15 17.9 14.33 16.71 24.19
TSLA 29.65 17.89 13.23 16.22 23.54
META 26.41 18.09 14.2 16.64 24.66
MSFT 27.09 16.35 14.08 16.18 26.77
AVGO 26.22 16.9 13.14 16.77 27.03
SMH 23.81 17.82 13.55 16.64 28.19
XBI 26.81 16.87 14.07 14.83 27.42
XLK 24.61 16.85 12.93 15.71 29.93
XLF 25.68 16.67 13.34 17.26 27.12
XLY 25.76 16.04 13.71 16.08 28.49
XLP 26.05 16.26 13.34 15.67 28.79
XLE 26.35 17.41 14.12 16.96 25.2
XLI 25.39 17.15 13.93 16.19 27.38
XLB 25.61 16.15 14.08 17.55 26.64
XLRE 26.94 14.68 14.99 15.62 27.88
XLV 25.79 15.48 14.56 15.89 28.38
XLU 26.76 16.7 13.01 16.04 27.61
