 Monday Tuesday Wednesday Thursday Friday
YM=F 19.05 15.24 10.48 17.14 39.05
ES=F 11.43 20.0 9.52 20.0 39.05
NQ=F 14.29 17.14 11.43 19.05 38.1
DX-Y.NYB 21.9 17.14 17.14 16.19 31.43
GC=F 20.0 18.1 11.43 17.14 35.24
CL=F 25.71 15.24 10.48 14.29 34.29
BTC-USD 25.47 16.04 13.21 13.21 11.32
AUDUSD=X 24.76 16.19 16.19 20.0 23.81
USDJPY=X 16.19 15.24 20.0 14.29 34.29
GBPUSD=X 22.86 20.0 16.19 11.43 29.52
GBPJPY=X 19.05 20.0 15.24 11.43 34.29
USDCAD=X 24.76 17.14 14.29 10.48 33.33
NZDUSD=X 28.57 11.43 16.19 18.1 26.67
USDCHF=X 23.81 16.19 15.24 19.05 25.71
AUDJPY=X 26.67 15.24 15.24 12.38 30.48
NVDA 18.1 16.19 9.52 21.9 34.29
AAPL 20.0 13.33 19.05 14.29 33.33
NFLX 16.19 21.9 10.48 16.19 35.24
TSLA 27.62 19.05 13.33 13.33 26.67
META 11.43 15.24 13.33 22.86 37.14
MSFT 16.19 11.43 16.19 24.76 31.43
AVGO 18.1 20.95 10.48 18.1 32.38
SMH 19.05 17.14 5.71 21.9 36.19
XBI 26.67 20.95 18.1 11.43 22.86
XLK 12.38 20.0 11.43 18.1 38.1
XLF 23.81 13.33 11.43 14.29 37.14
XLY 20.95 13.33 15.24 17.14 33.33
XLP 23.81 11.43 18.1 16.19 30.48
XLE 25.71 11.43 9.52 18.1 35.24
XLI 20.95 17.14 11.43 15.24 35.24
XLB 21.9 17.14 17.14 13.33 30.48
XLRE 21.9 16.19 20.95 17.14 23.81
XLV 25.71 12.38 16.19 15.24 30.48
XLU 21.9 13.33 11.43 23.81 29.52
